abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0389_NUBAA_B03_F03_023,,https://api.dc.library.northwestern.edu/api/v2/works/e66d73d0-8f61-485a-8453-bd3eea00c5ab,Work,ark:/81985/n20p10b80,59ce5500-1fe1-48fc-871f-992fac20e855|64d73403-37d9-4d4f-ad38-cb0b58609bae|8968c1d6-62da-4b3c-bc1e-943e94092fe0|b6c4099b-3de1-4f42-8473-68f4344d4fdd|d4ef7101-3215-4351-9d72-3cba789985fd,,3,https://dc.library.northwestern.edu/items/e66d73d0-8f61-485a-8453-bd3eea00c5ab,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-04-01T21:24:19.112893Z,,5a5b56b8-6f8f-4304-8cc2-9a6a817a197a,,June 2000,,recto,,3,contact sheets,e66d73d0-8f61-485a-8453-bd3eea00c5ab,,https://api.dc.library.northwestern.edu/api/v2/works/e66d73d0-8f61-485a-8453-bd3eea00c5ab?as=iiif,2023-02-20T16:26:59.597064,P0389 Black Student Life Photographs from NUBAA,P0389_NUBAA_b3.csv,,,,University Archives,None,,2022-10-04T14:39:59.608031Z,"{'note': 'Photos were printed by Everne Saxton, Assistant Dean of African American Student Affairs. ""S-P"" likely stands for Student-Parent.', 'type': 'General Note'}",1 photograph,10 cm (height) x 15 cm (width),Level 1,"{'cycle': '2022', 'desc': 'The additional contextual information will support future research, it will make it easier to identify requested material, and it will be useable.', 'manager': 'Nicole Finzer', 'name': 'Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0389'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/db47fb92-06b0-460a-8a47-581ad08b521c,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Not Started,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e66d73d0-8f61-485a-8453-bd3eea00c5ab/thumbnail,"contact sheet, ""S-P Reception"" Photographs, June 2000",Public,Image
,P0389_NUBAA_B01_F07_137,,https://api.dc.library.northwestern.edu/api/v2/works/1ceb0610-5ac6-486e-9c51-95f8d9c4bba3,Work,ark:/81985/n2zs2p05f,59ce5500-1fe1-48fc-871f-992fac20e855|64d73403-37d9-4d4f-ad38-cb0b58609bae|6cd095e6-46c7-44a5-bad6-81d0b3f07998|8968c1d6-62da-4b3c-bc1e-943e94092fe0|b6c4099b-3de1-4f42-8473-68f4344d4fdd,,1,https://dc.library.northwestern.edu/items/1ceb0610-5ac6-486e-9c51-95f8d9c4bba3,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-03-21T14:46:09.050284Z,,5a5b56b8-6f8f-4304-8cc2-9a6a817a197a,,1980s to 1990s,,recto,,7,photographs,1ceb0610-5ac6-486e-9c51-95f8d9c4bba3,,https://api.dc.library.northwestern.edu/api/v2/works/1ceb0610-5ac6-486e-9c51-95f8d9c4bba3?as=iiif,2023-02-20T16:32:02.128453,P0389 Black Student Life Photographs from NUBAA,P0389_NUBAA_b1.csv,,,,University Archives,None,,2022-10-04T14:39:57.356371Z,,1 photograph,9 cm (height) x 13 cm (width),Level 1,"{'cycle': '2022', 'desc': 'The additional contextual information will support future research, it will make it easier to identify requested material, and it will be useable.', 'manager': 'Nicole Finzer', 'name': 'Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0389'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/865eb509-5ee5-4a34-a117-221f31c85b32,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1ceb0610-5ac6-486e-9c51-95f8d9c4bba3/thumbnail,"Formal reception, dinner, and dance photographs c. 1980s-1990s",Public,Image
,P0402_nubaa_s2_df2_031,,https://api.dc.library.northwestern.edu/api/v2/works/26ececf4-c989-45cc-bcf5-4cca527474c2,Work,ark:/81985/n22b8z32c,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/26ececf4-c989-45cc-bcf5-4cca527474c2,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:31:38.501906Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,marsha Muldrow|marsha Muldrow,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,26ececf4-c989-45cc-bcf5-4cca527474c2,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/26ececf4-c989-45cc-bcf5-4cca527474c2?as=iiif,2023-02-20T16:32:41.036676,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.227673Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/a01cff77-f13b-460f-a07c-ae54fa99b489,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/26ececf4-c989-45cc-bcf5-4cca527474c2/thumbnail,Marsha Muldrow,Public,Image
,P0402_nubaa_s2_df2_040,,https://api.dc.library.northwestern.edu/api/v2/works/7b58bc21-a165-4ed8-a5f0-a52d26940a35,Work,ark:/81985/n27080d1f,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/7b58bc21-a165-4ed8-a5f0-a52d26940a35,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:31:27.810008Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,Ross|Ross,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,7b58bc21-a165-4ed8-a5f0-a52d26940a35,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/7b58bc21-a165-4ed8-a5f0-a52d26940a35?as=iiif,2023-02-20T16:32:41.190258,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.390362Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/edddb6c4-234e-449b-ab47-f4d4df0291d5,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b58bc21-a165-4ed8-a5f0-a52d26940a35/thumbnail,Ross,Public,Image
,P0402_nubaa_s2_df2_035,,https://api.dc.library.northwestern.edu/api/v2/works/0af76729-f89e-46bf-84be-e419e2a923f2,Work,ark:/81985/n2rr1sc0m,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/0af76729-f89e-46bf-84be-e419e2a923f2,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:32:09.359932Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,Pat Broussard|Pat Broussard,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,0af76729-f89e-46bf-84be-e419e2a923f2,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/0af76729-f89e-46bf-84be-e419e2a923f2?as=iiif,2023-02-20T16:32:41.508599,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.146209Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/1527f510-876a-4bac-ab70-ae0e0fc93089,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0af76729-f89e-46bf-84be-e419e2a923f2/thumbnail,Pat Broussard,Public,Image
,P0402_nubaa_s2_df2_101,,https://api.dc.library.northwestern.edu/api/v2/works/a35be283-d123-443d-a80c-1cec5402760b,Work,ark:/81985/n29p2zx5x,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/a35be283-d123-443d-a80c-1cec5402760b,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:32:04.635901Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,scan065001|scan065001,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,a35be283-d123-443d-a80c-1cec5402760b,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/a35be283-d123-443d-a80c-1cec5402760b?as=iiif,2023-02-20T16:32:41.575752,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.470439Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/1e5ba4b3-7bc5-48d1-a9d9-42c692d3ed7b,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a35be283-d123-443d-a80c-1cec5402760b/thumbnail,scan065001,Public,Image
,P0402_nubaa_s2_df2_085,,https://api.dc.library.northwestern.edu/api/v2/works/b879b93d-e56b-4a1e-8f3e-22e7a75682a8,Work,ark:/81985/n2vm45n9s,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/b879b93d-e56b-4a1e-8f3e-22e7a75682a8,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:31:54.769925Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,scan049001|scan049001,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,b879b93d-e56b-4a1e-8f3e-22e7a75682a8,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/b879b93d-e56b-4a1e-8f3e-22e7a75682a8?as=iiif,2023-02-20T16:32:41.583121,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.506614Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/d8155067-ef28-42a2-b347-893df3bfb15b,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b879b93d-e56b-4a1e-8f3e-22e7a75682a8/thumbnail,scan049001,Public,Image
,P0402_nubaa_s2_df2_043,,https://api.dc.library.northwestern.edu/api/v2/works/dd9e4eed-87b1-4c95-b441-83c80ee14260,Work,ark:/81985/n2pv6dz3f,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/dd9e4eed-87b1-4c95-b441-83c80ee14260,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:32:02.804625Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,scan004001|scan004001,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,dd9e4eed-87b1-4c95-b441-83c80ee14260,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/dd9e4eed-87b1-4c95-b441-83c80ee14260?as=iiif,2023-02-20T16:32:41.585704,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.576673Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/3427e12a-c2ec-4ae5-962e-75abff09defd,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/dd9e4eed-87b1-4c95-b441-83c80ee14260/thumbnail,scan004001,Public,Image
,P0389_NUBAA_B03_F04_009,,https://api.dc.library.northwestern.edu/api/v2/works/d7d0f205-bedb-4572-aaa4-781c75aab6b4,Work,ark:/81985/n2gh9dw98,59ce5500-1fe1-48fc-871f-992fac20e855|64d73403-37d9-4d4f-ad38-cb0b58609bae|8968c1d6-62da-4b3c-bc1e-943e94092fe0|b6c4099b-3de1-4f42-8473-68f4344d4fdd|d4ef7101-3215-4351-9d72-3cba789985fd,,3,https://dc.library.northwestern.edu/items/d7d0f205-bedb-4572-aaa4-781c75aab6b4,,,Records of Northwestern University Black Alumni Association (NUBAA) ,"Northwestern University Black Alumni Association|Blade, Debra",2022-04-01T21:24:28.651320Z,,5a5b56b8-6f8f-4304-8cc2-9a6a817a197a,,1999 to 2000,,recto|verso,Photographs of events by Debra Blade for African American Student Affairs (AASA),4,photographs,d7d0f205-bedb-4572-aaa4-781c75aab6b4,,https://api.dc.library.northwestern.edu/api/v2/works/d7d0f205-bedb-4572-aaa4-781c75aab6b4?as=iiif,2023-02-20T16:32:41.590819,P0389 Black Student Life Photographs from NUBAA,P0389_NUBAA_b3.csv,,,,University Archives,None,,2022-10-04T14:39:59.443407Z,,1 photograph,18 cm (height) x 13 cm (width),Level 1,"{'cycle': '2022', 'desc': 'The additional contextual information will support future research, it will make it easier to identify requested material, and it will be useable.', 'manager': 'Nicole Finzer', 'name': 'Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0389'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/faf6984d-0b68-4ded-bd3b-eb88a41d145d,,In Copyright,"Events pictured include: CaribFest, Re-enactment of the May 3 [1968] Bursar's Takeover, Parents Weekend, Big Brother/Big Sister, Juneteenth, African-American Cultural Tour, Senior-Parent Reception, Student Organization Recognition Banquet, Black Women's Retreat, Easter Dinner, Cecelia Hayes, Summer Academic Workshop (SAW).","Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Not Started,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d7d0f205-bedb-4572-aaa4-781c75aab6b4/thumbnail,Photographs of events by Debra Blade for African American Student Affairs (AASA) 1999-2000,Public,Image
,P0402_nubaa_s2_df2_044,,https://api.dc.library.northwestern.edu/api/v2/works/eac88d0f-9ce8-4dcd-a432-8c1abaf05af4,Work,ark:/81985/n2sj1dg6j,59ce5500-1fe1-48fc-871f-992fac20e855|b6c4099b-3de1-4f42-8473-68f4344d4fdd|da7ad5e8-a7e6-423f-b655-2debfa319f7e|eb00619d-5977-45fe-b13c-3fa95ec323aa,,2,https://dc.library.northwestern.edu/items/eac88d0f-9ce8-4dcd-a432-8c1abaf05af4,,,Records of Northwestern University Black Alumni Association (NUBAA) ,Northwestern University Black Alumni Association,2022-08-01T16:32:29.237046Z,,88007cd1-d36e-45fa-878f-0d6180407b54,,1968 to 2002,,scan005001|scan005001,Digitized photographs of Northwestern Black alumni,2,born digital|CD-Rs,eac88d0f-9ce8-4dcd-a432-8c1abaf05af4,"Series 2, digital folder 2",https://api.dc.library.northwestern.edu/api/v2/works/eac88d0f-9ce8-4dcd-a432-8c1abaf05af4?as=iiif,2023-02-20T16:32:41.665592,P0402_NUBAA,P0402_NUBAA_images_2.csv,,,,University Archives,None,,2022-10-03T14:47:47.601857Z,"{'note': 'Data from born-digital materials in this collection were transferred using read-only technologies creating preservation copies to extract the content without altering any of its data. Preservation files have undergone a checksum algorithm to allow for future data integrity and authenticity checking and repair according to the Libraries’ digital preservation policy.', 'type': 'General Note'}|{'note': 'original filepath: 2018-093_aip_content\\20210903_090419_ua\\Sep 03 2008 [Joliet]', 'type': 'Local Note'}",From Compact Disc Recordable (CD-R),,Level 1,"{'cycle': '2022', 'desc': 'Black Student Life Photographs from NUBAA', 'manager': 'Veronica Robinson', 'name': 'P0402 Black Student Life Photographs from NUBAA', 'proposer': 'Charla Wilson', 'task_number': 'P0402'}","The Records of Northwestern University Black Alumni Association (NUBAA) were donated to the University Archives by the Northwestern University Black Alumni Association on July 19, 2017, and on February 15, May 1, and June 27, 2018. (Accession numbers: 17-179, 18-15, 18-72, 18-93.) Born-digital files from accessions 17-179 and 18-3 were extracted from original media carriers in 2017 and 2021 respectively.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/ad2d272b-a559-4d81-89e9-7ed6264d00db,,In Copyright,,"Records of Northwestern University Black Alumni Association (NUBAA)--Photographs, 1968-2002 and undated",,Done,,"Northwestern University Black Alumni Association|African American college students|Northwestern University (Evanston, Ill.)|Universities and colleges--Alumni and alumnae--Societies, etc.",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eac88d0f-9ce8-4dcd-a432-8c1abaf05af4/thumbnail,scan005001,Public,Image
